date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2025-01-02,600519,1496.4,1460.4,1496.89,1452.4,50029,7490883773.0,2.97,-2.41,-36.0,0.4,-0.00552938,,,32232.05,1.55215073,0.20948161,0,,25.77857143,0.01765172,,-0.47689145,0.68898446,1491.152,1496.216,1491.093,,-4.42332242,-4.42157544,-0.00174698,,1491.093,1527.71802458,1454.46797542,30711.8,1.628983,-0.02795527,-0.01814863,-0.02405774,0.16489392,0.20948161
2025-01-03,600519,1466.9,1447.4,1467.39,1439.41,32628,4836610288.0,1.92,-0.89,-13.0,0.26,-0.0083041,,,33056.4,0.98704033,0.21075097,0,,24.42571429,0.01687558,,-0.44478887,0.57466761,1480.594,1491.003,1490.487,,-7.64939672,-5.0671397,-2.58225703,,1490.487,1529.62640865,1451.34759135,33580,0.97164979,-0.03518888,-0.0072336,-0.00890167,0.16154513,0.21075097
2025-01-06,600519,1425.4,1412.4,1435.06,1405.2,44255,6392479712.0,2.06,-2.42,-35.0,0.35,-0.03887638,,,33667.15,1.31448608,0.22502132,0,,26.13357143,0.01850295,,-0.2850566,-0.05289692,1462.8,1482.803,1487.6305,,-12.881798,-6.63007136,-6.25172664,,1487.6305,1539.48390692,1435.77709308,38279.2,1.15611089,-0.05925921,-0.02407033,-0.02418129,0.18087185,0.22502132
2025-01-07,600519,1417.06,1412.6,1424.29,1411.4,24221,3494634227.0,0.91,0.01,0.2,0.19,-0.03729248,,,33888.2,0.71473256,0.22513404,0,,23.62642857,0.01672549,,-0.30379699,-0.05141249,1445.84,1474.178,1484.8945,,-16.81850216,-8.66775752,-8.15074464,,1484.8945,1546.17733128,1423.61166872,38097.4,0.63576517,-0.05663149,0.00262772,0.0001416,0.19084444,0.22513404
2025-01-08,600519,1412.4,1414.9,1424.22,1399.06,35258,5071821246.0,1.78,0.16,2.3,0.28,-0.05364823,,,32635.5,1.08035728,0.21198257,0,,23.28785714,0.01645901,,-0.36570166,0.32612668,1429.54,1464.546,1480.884,,-19.5276749,-10.83974099,-8.68793391,,1480.884,1549.42092371,1412.34707629,37278.2,0.94580747,-0.05446405,0.00216745,0.0016282,0.19957629,0.21198257
2025-01-09,600519,1421.39,1416.4,1436.98,1405.38,29706,4295852736.0,2.23,0.11,1.5,0.24,-0.04562973,,,32637.25,0.91018698,0.21162049,0,,24.03285714,0.01696756,,-0.46895944,0.41689331,1420.74,1455.946,1477.498,,-21.30805042,-12.93340288,-8.37464754,,1477.498,1551.809771,1403.186229,33213.6,0.89439266,-0.03012873,0.02433532,0.00106015,0.17474954,0.21162049
2025-01-10,600519,1419.5,1408.4,1424.35,1408.4,21872,3154677598.0,1.13,-0.56,-8.0,0.17,-0.06994559,,,31634,0.69140798,0.19420701,0,,23.61642857,0.01676827,,-0.62092931,0.77883352,1412.94,1446.767,1472.202,,-23.09828137,-14.96637858,-8.13190279,,1472.202,1550.45712705,1393.94687295,31062.4,0.70413104,-0.02694487,0.00318387,-0.00564812,0.17292231,0.19420701
2025-01-13,600519,1397.4,1416.38,1416.84,1394.41,21083,3030806870.0,1.59,0.57,7.98,0.17,-0.03484791,,,30212.55,0.69782259,0.16741754,0,,23.71857143,0.01674591,,-0.49350527,1.22461872,1413.736,1438.268,1469.645,,-23.6010745,-16.69331776,-6.90775674,,1469.645,1551.78963227,1387.50036773,26428,0.79775238,0.0028179,0.02976277,0.005666,0.06456938,0.16741754
2025-01-14,600519,1417.35,1444.9,1451.08,1414.4,30957,4535651504.0,2.59,2.01,28.52,0.25,-0.02088472,,,30133.55,1.02732668,0.18307118,0,,24.73785714,0.01712081,,-0.20485104,0.74370518,1420.196,1433.018,1468.104,,-21.45094291,-17.64484279,-3.80610012,,1468.104,1550.92236013,1385.28563987,27775.2,1.11455543,0.02286564,0.02004774,0.02013584,0.15244484,0.18307118
2025-01-15,600519,1439.4,1443.67,1447.0,1432.41,18399,2701518712.0,1.01,-0.09,-1.23,0.15,-0.04171866,,,28344.9,0.64911148,0.16389929,0,,24.87142857,0.01722792,,-0.48869237,1.32981211,1425.95,1427.745,1464.9615,,-19.62003134,-18.0398805,-1.58015084,,1464.9615,1546.40041331,1383.52258669,24403.4,0.75395232,0.02033359,-0.00253205,-0.00085127,0.15642199,0.16389929
2025-01-16,600519,1446.4,1418.78,1455.06,1414.4,26342,3840411437.0,2.82,-1.72,-24.89,0.21,-0.06660439,,,27603.9,0.95428545,0.16685654,0,,26.64857143,0.01878274,,-0.28873998,0.9125919,1426.426,1423.583,1459.8995,,-19.94749343,-18.42140309,-1.52609035,,1459.8995,1539.49350202,1380.30549798,23730.6,1.11004357,0.00168032,-0.01865328,-0.01724078,0.21975962,0.16685654
2025-01-17,600519,1418.79,1427.15,1433.4,1418.78,18309,2663227309.0,1.03,0.59,8.37,0.15,-0.04826846,,,27278.9,0.67117809,0.16548421,0,,26.51428571,0.01857849,,-0.51234429,1.20820399,1430.176,1421.558,1456.2805,,-19.30903788,-18.59893005,-0.71010784,,1456.2805,1534.86298699,1377.69801301,23018,0.79542097,0.01331298,0.01163266,0.00589943,0.21493491,0.16548421
2025-01-20,600519,1433.4,1447.2,1462.19,1432.4,31410,4647626351.0,2.09,1.4,20.05,0.25,-0.03158458,,,27441.5,1.14461673,0.17540249,0,,27.66285714,0.01911474,,-0.50071083,0.72258421,1436.34,1425.038,1453.9205,,-16.98934721,-18.27701348,1.28766627,,1453.9205,1530.49203751,1377.34896249,25083.4,1.25222259,0.0217597,0.00844672,0.01404898,0.22988828,0.17540249
2025-01-21,600519,1453.4,1440.55,1454.4,1437.4,16856,2481821229.0,1.17,-0.46,-6.65,0.13,-0.03889649,,,27204.15,0.61961135,0.17487154,0,,27.235,0.01890597,,-0.39595174,0.69597035,1435.47,1427.833,1451.0055,,-15.50879927,-17.72337064,2.21457137,,1451.0055,1524.76238014,1377.24861986,22263.2,0.75712386,-0.00301059,-0.02477029,-0.00459508,0.18610466,0.17487154
2025-01-22,600519,1435.67,1413.4,1440.35,1410.4,28294,4088101682.0,2.08,-1.88,-27.15,0.23,-0.06472916,,,27513.6,1.02836415,0.1803272,0,,26.21071429,0.01854444,,-0.19690514,0.28202191,1429.416,1427.683,1446.1145,,-16.33789933,-17.44627638,1.10837705,,1446.1145,1515.92675574,1376.30224426,24242.2,1.1671383,-0.0209674,-0.01795681,-0.01884697,0.2272553,0.1803272
2025-01-23,600519,1422.37,1415.4,1440.4,1410.4,27125,3932700850.0,2.12,0.14,2.0,0.22,-0.05790735,,,28013.7,0.96827624,0.18079957,0,,26.355,0.01862018,,-0.29676171,0.28247684,1428.74,1427.583,1441.7645,,-16.6417481,-17.28537072,0.64362262,,1441.7645,1507.53473882,1375.99426118,24398.8,1.111735,-0.00238233,0.01858507,0.00141503,0.19597758,0.18079957
2025-01-24,600519,1414.4,1408.4,1420.19,1402.71,31360,4515322685.0,1.23,-0.49,-7.0,0.25,-0.06118558,,,28667.35,1.09392741,0.18085187,0,,24.58928571,0.01745902,,-0.24611858,0.25765178,1424.99,1427.583,1437.175,,-17.24856126,-17.27800883,0.02944757,,1437.175,1498.43470789,1375.91529211,27009,1.16109445,-0.01313807,-0.01075574,-0.0049456,0.18895898,0.18085187
2025-01-27,600519,1409.4,1407.39,1416.37,1399.42,29356,4213534543.0,1.2,-0.07,-1.01,0.23,-0.06259616,,,29097.2,1.00889433,0.18050281,0,,24.87928571,0.01767761,,-0.22729404,0.27848173,1417.028,1426.684,1432.476,,-17.60798968,-17.344005,-0.26398468,,1432.476,1487.05594095,1377.89605905,26598.2,1.10368371,-0.02750829,-0.01437022,-0.00071713,0.12548748,0.18050281
2025-02-05,600519,1412.4,1376.2,1415.4,1374.61,40757,5753730034.0,2.9,-2.22,-31.19,0.32,-0.0809403,,,29878.55,1.36408895,0.19264286,0,,25.99571429,0.01888949,,-0.142638,-0.27287912,1404.158,1419.814,1426.416,,-20.17702346,-17.91060869,-2.26641477,,1426.416,1477.44230422,1375.38969578,31378.4,1.29888713,-0.04467044,-0.01716215,-0.02216159,0.17091731,0.19264286
2025-02-06,600519,1372.41,1385.24,1394.39,1372.41,27356,3859568163.0,1.6,0.66,9.04,0.22,-0.07428495,,,29278.65,0.9343327,0.19605569,0,,25.30857143,0.01827017,,-0.19617183,-0.43271738,1398.526,1413.971,1420.858,,-21.23872202,-18.57623136,-2.66249066,,1420.858,1463.27788888,1378.43811112,31190.8,0.87705349,-0.01992359,0.02474685,0.00656881,0.17435457,0.19605569
